Class Name;ATFD;CCC;CBO;DAC;DIT;CHD;CHEF;CHER;CHL;CHVC;CHVL;LCOM;CLOC;CMI;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
com.example.Application;0;0;0;0;1;3.0;90.0;0.0067;10;8;30.0;1;3;79.2493;1;1;0;1;0;15;0;1;15;0;0;2;0.0;1.0;1
com.example.base.ui.MainErrorHandler;4;0;0;1;1;15.0;2875.3046;0.0674;38;33;191.687;1;15;58.373;14;8;0;1;1;15;0;1;14;0;0;16;0.0;1.0;1
com.example.base.ui.MainLayout;12;2;0;0;3;18.3158;7255.2016;0.1249;73;43;396.1173;2;27;50.3707;19;18;0;3;11;100;N/A;4;97;0;0;21;0.0;1.0;5
com.example.base.ui.component.ViewToolbar;12;1;3;0;3;12.1136;4411.5331;0.0897;71;35;364.1791;1;23;52.2147;10;16;0;1;9;79;N/A;2;78;0;0;8;0.0;1.0;3
com.example.examplefeature.Task;1;5;8;4;1;22.2727;11941.8866;0.1742;95;50;536.1663;4;46;44.2548;11;20;5;6;5;28;0;10;23;2;0;16;0.1333;0.1667;15
com.example.examplefeature.TaskRepository;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.example.examplefeature.TaskService;1;1;6;1;1;16.6667;3238.654;0.073;40;29;194.3192;1;18;56.3818;8;9;0;3;1;18;0;4;17;0;0;14;1.0;1.0;5
com.example.examplefeature.currencyexchange.CurrencyService;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;0.0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.example.examplefeature.currencyexchange.CurrencyView;0;4;1;7;5;72.2;176782.6452;1.05;332;166;2448.5131;2;90;33.3075;0;60;0;7;16;146;0;8;138;0;0;69;0.1905;1.0;12
com.example.examplefeature.currencyexchange.CurrencyView.Row;0;0;1;2;2;0.0;0.0;0.0;2;2;2.0;3;6;80.7312;0;0;3;3;3;24;N/A;4;21;0;0;4;0.0;0.0;4
com.example.examplefeature.currencyexchange.EcbCurrencyService;1;1;1;1;1;18.0;6211.9497;0.1126;64;42;345.1083;1;30;49.8218;22;16;0;3;1;20;0;3;19;0;0;19;0.3333;1.0;4
com.example.examplefeature.email.EmailService;1;0;1;2;1;10.6667;1452.393;0.0427;31;21;136.1618;1;12;61.4265;5;8;0;1;2;17;0;2;15;0;0;8;0.0;1.0;2
com.example.examplefeature.email.TaskEmailSend;13;4;4;9;5;56.175;90479.0145;0.6718;232;123;1610.6634;1;88;34.8064;72;46;0;5;21;149;0;6;136;0;0;55;0.8;1.0;11
com.example.examplefeature.pdffiles.GerarPdfView;5;11;3;6;5;68.0;105926.3182;0.7462;224;124;1557.74;1;72;36.7868;73;49;0;2;14;139;0;3;133;0;0;57;0.0;1.0;13
com.example.examplefeature.pdffiles.PdfService;2;6;2;0;1;37.2581;35807.1857;0.3621;159;66;961.0587;1;82;37.0445;56;29;0;5;0;18;0;5;18;0;0;28;0.1;1.0;11
com.example.examplefeature.qr.codes.ui.GerarQrViewEdu;11;40;4;6;5;144.487;648413.009;2.4972;568;239;4487.6923;3;181;24.6362;177;123;0;13;14;150;0;14;144;0;0;108;0.0128;1.0;57
com.example.examplefeature.qr.codes.ui.HtmlShareServerEdu;2;11;2;0;1;43.8281;37161.0013;0.3712;133;83;847.8802;1;42;43.7345;7;32;0;2;0;15;0;2;15;0;0;23;0.0;1.0;14
com.example.examplefeature.qr.codes.ui.HtmlShareServerEdu.StaticHtmlHandler;2;1;2;0;1;11.25;1876.8857;0.0507;34;30;166.8343;1;35;50.6248;7;6;0;1;1;17;0;2;16;0;0;9;0.0;1.0;3
com.example.examplefeature.qr.codes.ui.QrCodeServiceEdu;5;6;3;0;1;36.5;35652.9169;0.3611;152;86;976.7922;1;50;41.684;31;30;0;4;0;17;0;4;17;0;0;31;0.1667;1.0;11
com.example.examplefeature.ui.TaskListView;10;0;3;5;5;39.6;31952.6039;0.3356;128;79;806.8839;1;36;45.6074;47;28;0;1;13;137;0;2;132;0;0;42;0.0;1.0;2
